feature,neural_importance
vtype_Jeep,0.79027677
r7d_voltage_drops,0.69016284
r30d_fuel_mean,0.6474026
r7d_fuel_mean,0.6467523
thermal_stress_index,0.62142545
avg_voltage,0.6048225
min_efficiency,0.59440494
avg_fuel_lph,0.5916176
dtc_minor,0.5907582
total_harsh_events,0.5751393
p95_load,0.561743
avg_terrain_diff,0.55159634
avg_coolant_temp,0.5484239
avg_engine_load,0.5343741
dtc_total,0.52209795
vtype_Heavy Truck,0.51796514
max_efficiency,0.5072183
mileage_per_year,0.50555784
avg_cargo_weight,0.48876965
r30d_coolant_mean,0.47356996
avg_rpm,0.4716961
min_voltage,0.47139102
p95_coolant,0.4686511
avg_efficiency,0.46030402
r30d_voltage_drops,0.46000668
dtc_critical,0.4518652
total_mileage,0.4485569
temp_trend,0.43901548
r7d_coolant_mean,0.43193898
voltage_drop_count,0.42981464
avg_speed,0.42876464
vehicle_age_years,0.41494608
efficiency_slope,0.4053667
r90d_coolant_mean,0.40224248
avg_trip_distance,0.3959806
r90d_load_mean,0.39509967
r7d_load_mean,0.3873526
idle_ratio,0.379975
elec_thermal_risk,0.37391374
r30d_load_mean,0.3619366
dtc_major,0.35427338
dtc_active,0.3535823
fuel_slope,0.3478422
combat_ratio,0.3368172
vtype_Armored Carrier,0.31858698
abuse_rate,0.305582
high_load_count,0.30329353
total_idle_min,0.30153242
r90d_fuel_mean,0.3004229
vtype_Medium Truck,0.29967338
std_coolant_temp,0.293676
total_engine_hours,0.29153848
r90d_voltage_drops,0.29066902
max_coolant_temp,0.2562038
p05_voltage,0.25499192
overheat_count,0.2517696
total_trips,0.23973785
total_refuels,0.21122798
efficiency_degradation,0.11336995
